,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Austroargiolestes,-0.611544928060143,0.578526669721434,-0.539740394435085,Austroargiolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,10
Neurolestes,-0.874277567927741,-0.0170972448294819,0.48512515749814,Neurolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,2
Griseargiolestes,0.949666529189323,-0.0431246039418176,0.310280118396853,Griseargiolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,7
Luzonargiolestes,0.249852120573792,0.339389082168009,0.906856641785203,Luzonargiolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,2
Podolestes,-0.195842783768468,-0.393653318992109,0.898155147228091,Podolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,9
Pyrrhargiolestes,0.20629971065971,-0.751705831107578,-0.626401447045411,Pyrrhargiolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,7
Metagrion,0.72884041703982,-0.216019147263734,-0.649713301775999,Metagrion,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,23
Nesolestes,-0.564248574666826,0.687643726291324,0.456913177396579,Nesolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,16
Podopteryx,-0.481296292525209,-0.172931847545472,-0.859330236234009,Podopteryx,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,3
Miniargiolestes,-0.867975395860056,-0.432592948839889,-0.243889427396084,Miniargiolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,1
Caledopteryx,0.591437620672288,-0.72931971910486,0.343939367008649,Caledopteryx,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,2
Celebargiolestes,-0.0067250179216313,0.990791440508535,-0.135229787949902,Celebargiolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,4
Argiolestes,0.710035954884492,0.694651832095679,0.115359329650376,Argiolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,14
Trineuragrion,0.312609841188929,0.511573701752305,-0.80035456821791,Trineuragrion,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,1
Archiargiolestes,-0.287550676903847,-0.952906910816036,0.0963484692726266,Archiargiolestes,True,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,3
Caledargiolestes,0.4663776166382712,-0.325836118177161,0.8223884378990531,Caledargiolestes,False,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,2
Wahnesia,-0.5891129207712518,-0.6332080066198581,0.5019896283120505,Wahnesia,False,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,17
Eoargiolestes,0.20845012978423336,-0.08998671755722257,-0.9738844562145003,Eoargiolestes,False,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,1
Allolestes,-0.9425013738843637,0.3178199222008905,-0.10335210340533446,Allolestes,False,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,1
Solomonargiolestes,0.20701226815802468,0.8507608443888542,0.4830651161974272,Solomonargiolestes,False,Argiolestidae,Calopterygoidea,Zygoptera,Odonata,2
