,x,y,z,genus,family,superfamily,suborder,order,nb_species
Rhinocypha,-0.840794828055562,-0.511325044777061,0.177794138538802,Rhinocypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,46
Heliocypha,-0.954201135251409,-0.193373362818253,-0.228269437370144,Heliocypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,9
Calocypha,-0.680391798979994,0.351878614770799,0.642844024898537,Calocypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,1
Chlorocypha,0.869539940851764,0.0182993835830943,0.493523478493161,Chlorocypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,28
Platycypha,0.730873912641878,-0.278234985041152,-0.623224371248993,Platycypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,14
Libellago,-0.3853693219175,0.86255301101409,-0.327860929229718,Libellago,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,25
Pachycypha,0.251836620183203,0.488659726764414,-0.835338247761486,Pachycypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,1
Africocypha,0.886983277541398,-0.458397052756311,0.0559714872613451,Africocypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,3
Aristocypha,-0.714025470571506,0.141505896580915,-0.685670262303953,Aristocypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,12
Sclerocypha,-0.0582289913685323,0.964642865187647,0.257047713871902,Sclerocypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,1
Rhinoneura,-0.0827401601417186,-0.643473909459747,0.760983175730129,Rhinoneura,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,2
Cyrano,0.0537466561433708,-0.99458595088062,-0.0889386488783108,Cyrano,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,2
Indocypha,-0.16105117246325,-0.590761515799196,-0.790609480906249,Indocypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,7
Stenocypha,0.751055579190391,0.660227034972963,0.0039723113922416,Stenocypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,5
Sundacypha,-0.0561937009674226,0.106922755845612,0.99267809095092,Sundacypha,Chlorocyphidae,Calopterygoidea,Zygoptera,Odonata,2
